Unnamed: 0,code,name,price,category,brand,cpu1,cpu2,cpu3,ram,oCung,cardManHinh1,cardManHinh2,manHinh1,manHinh2,congKetNoi1,congKetNoi2,thietKe,kichThuoc,thoiGianRaMat,rating,full_name,Unnamed: 0.1,DauVao,Phan Giai,LED,SanXuat,Trong luong,Thoi gian dung sac,pin,img
10,220042001759,laptop,21390000, Laptop , lenovo ,i5,1135g7,2.4ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,dài 357 mm  rộng 235 mm  dày 18.9 mm  nặng 1.7 kg,2021,2021,0.0, laptop  lenovo  i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi dài 357 mm  rộng 235 mm  dày 18.9 mm  nặng 1.7 kg,,,,,,,,,
11,220042001424,laptop,39990000, Laptop , macbook ,apple m1,nan,nan,16 gb,256 gb ssd,card tích hợp,8 nhân gpu,13.3,retina 2560 x 1600,2 x thunderbolt 3 usbc,jack tai nghe 3.5 mm,vỏ kim loại nguyên khối,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,5.0, laptop  macbook  apple m1 nan nan 16 gb 256 gb ssd card tích hợp 8 nhân gpu 13.3 retina 2560 x 1600 2 x thunderbolt 3 usbc jack tai nghe 3.5 mm vỏ kim loại nguyên khối,,,,,,,,,
12,220042001446,laptop,29990000, Laptop , msi ,i7,11800h,2.30 ghz,8 gb,512 gb ssd nvme pcie,card rời,rtx 3050 4gb,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ nhựa,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - Nặng 2.1 kg,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - Nặng 2.1 kg,3.0, laptop  msi  i7 11800h 2.30 ghz 8 gb 512 gb ssd nvme pcie card rời rtx 3050 4gb 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa,,,,,,,,,
13,220042001725,laptop,17990000, Laptop , msi ,ryzen 5,5500u,2.1ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card tích hợp,radeon,15.6,full hd 1920 x 1080,3 x usb 3.2,hdmi,nắp lưng và chiếu nghỉ tay bằng kim loại,Dài 356.8 mm - Rộng 233.7 mm - Dày 18.9 mm - Nặng 1.6 kg,Dài 356.8 mm - Rộng 233.7 mm - Dày 18.9 mm - Nặng 1.6 kg,3.0," laptop  msi  ryzen 5 5500u 2.1ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card tích hợp radeon 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi nắp lưng và chiếu nghỉ tay bằng kim loại",,,,,,,,,
14,220042001673,laptop,33990000, Laptop , msi ,i7,11800h,2.30 ghz,16 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card rời,rtx 3050ti 4gb,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,nắp lưng và chiếu nghỉ tay bằng kim loại,Dài 359 mm - Rộng 259 mm - Dày 23.95 mm - Nặng 2.25 kg,Dài 359 mm - Rộng 259 mm - Dày 23.95 mm - Nặng 2.25 kg,0.0," laptop  msi  i7 11800h 2.30 ghz 16 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card rời rtx 3050ti 4gb 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi nắp lưng và chiếu nghỉ tay bằng kim loại",,,,,,,,,
15,220042001337,laptop,23690000, Laptop , lenovo ,i5,1135g7,2.4ghz,8 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,14,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ kim loại,Dài 322 mm - Rộng 207 mm - Dày 14.9 mm - Nặng 1.27 kg,Dài 322 mm - Rộng 207 mm - Dày 14.9 mm - Nặng 1.27 kg,2.7, laptop  lenovo  i5 1135g7 2.4ghz 8 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ kim loại,,,,,,,,,
16,220042001698,laptop,29990000, Laptop , gigabyte ,i5,10500h,2.5ghz,16 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card rời,rtx 3060 6gb,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ nhựa,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,3.0," laptop  gigabyte  i5 10500h 2.5ghz 16 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card rời rtx 3060 6gb 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ nhựa",,,,,,,,,
17,220042001813,laptop,82990000, Laptop , dell ,i7,11800h,2.30 ghz,16 gb,"1 tb ssd m.2 pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card rời,rtx 3050 4gb,17,4kuhd+ 3840 x 2400,4 x  thunderbolt 4,jack tai nghe 3.5 mm,vỏ kim loại,"Dài 374,.48 - Rộng 248.08 mm - Dày 13.15 mm - Nặng 2.53 kg","Dài 374,.48 - Rộng 248.08 mm - Dày 13.15 mm - Nặng 2.53 kg",0.0," laptop  dell  i7 11800h 2.30 ghz 16 gb 1 tb ssd m.2 pcie có thể tháo ra, lắp thanh khác tối đa 2tb card rời rtx 3050 4gb 17 4kuhd+ 3840 x 2400 4 x  thunderbolt 4 jack tai nghe 3.5 mm vỏ kim loại",,,,,,,,,
18,220042001542,laptop,77990000, Laptop , msi ,i7,11800h,2.30 ghz,32 gb,2 tb ssd nvme pcie,card rời,rtx 3080 16gb,15.6,qhd 2560 x 1440,3 x usb 3.2,hdmi,vỏ kim loại,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,0.0, laptop  msi  i7 11800h 2.30 ghz 32 gb 2 tb ssd nvme pcie card rời rtx 3080 16gb 15.6 qhd 2560 x 1440 3 x usb 3.2 hdmi vỏ kim loại,,,,,,,,,
19,220042001645,laptop,64990000, Laptop , macbook ,apple m1 pro,200gbs memory bandwidth,nan,16 gb,512 gb ssd,card tích hợp,16 coregpu,16.2 inch,liquid retina xdr display 3456 x 2234,3 x thunderbolt 4 usbc,hdmi,vỏ kim loại nguyên khối,Dài 355.7 mm - Rộng 248.1 mm - Dày 16.8 mm - Nặng 2.2 kg,Dài 355.7 mm - Rộng 248.1 mm - Dày 16.8 mm - Nặng 2.2 kg,0.0, laptop  macbook  apple m1 pro 200gbs memory bandwidth nan 16 gb 512 gb ssd card tích hợp 16 coregpu 16.2 inch liquid retina xdr display 3456 x 2234 3 x thunderbolt 4 usbc hdmi vỏ kim loại nguyên khối,,,,,,,,,
20,220042001560,laptop,64990000, Laptop , msi ,i7,11800h,2.30 ghz,32 gb,2 tb ssd nvme pcie,card rời,rtx 3070 maxq 8gb,15.6,full hd 1920 x 1080,3 x usb 3.2,hdmi,vỏ kim loại,Dài 358.3 mm - Rộng 248 mm - Dày 19.8 mm - Nặng 2.1 Kg,Dài 358.3 mm - Rộng 248 mm - Dày 19.8 mm - Nặng 2.1 Kg,0.0, laptop  msi  i7 11800h 2.30 ghz 32 gb 2 tb ssd nvme pcie card rời rtx 3070 maxq 8gb 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi vỏ kim loại,,,,,,,,,
21,220042001561,laptop,59990000, Laptop , msi ,i7,11800h,2.30 ghz,16 gb,2 tb ssd nvme pcie,card rời,rtx 3070 8gb,15.6,full hd 1920 x 1080,3 x usb 3.2,hdmi,vỏ kim loại,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,0.0, laptop  msi  i7 11800h 2.30 ghz 16 gb 2 tb ssd nvme pcie card rời rtx 3070 8gb 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi vỏ kim loại,,,,,,,,,
22,220042001373,laptop,57490000, Laptop , hp ,i7,10750h,2.6ghz,16 gb,1 tb ssd m.2 pcie,card rời,rtx 2070 maxq 8gb,15.6,full hd 1920 x 1080,jack tai nghe 3.5 mm,hdmi,kim loại và polycarbonate,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,0.0, laptop  hp  i7 10750h 2.6ghz 16 gb 1 tb ssd m.2 pcie card rời rtx 2070 maxq 8gb 15.6 full hd 1920 x 1080 jack tai nghe 3.5 mm hdmi kim loại và polycarbonate,,,,,,,,,
23,220042001398,laptop,54890000, Laptop , lg ,i7,1165g7,2.8ghz,16 gb,1 tb ssd m.2 pcie,card tích hợp,intel iris xe,17,wqxga 2560 x 1600,2 x thunderbolt 4 usbc,2 x usb 3.2,hợp kim nano carbon  magie,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,0.0, laptop  lg  i7 1165g7 2.8ghz 16 gb 1 tb ssd m.2 pcie card tích hợp intel iris xe 17 wqxga 2560 x 1600 2 x thunderbolt 4 usbc 2 x usb 3.2 hợp kim nano carbon  magie,,,,,,,,,
24,220042001716,laptop,52990000, Laptop , msi ,i7,11800h,2.30 ghz,16 gb,"1 tb ssd m.2 pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card rời,rtx 3070 8gb,17.3,full hd 1920 x 1080,3 x usb 3.2,hdmi,vỏ kim loại,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,0.0," laptop  msi  i7 11800h 2.30 ghz 16 gb 1 tb ssd m.2 pcie có thể tháo ra, lắp thanh khác tối đa 2tb card rời rtx 3070 8gb 17.3 full hd 1920 x 1080 3 x usb 3.2 hdmi vỏ kim loại",,,,,,,,,
25,220042001399,laptop,52890000, Laptop , lg ,i7,1165g7,2.8ghz,16 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,17,wqxga 2560 x 1600,2 x thunderbolt 4 usbc,2 x usb 3.2,hợp kim nano carbon  magie,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,0.0, laptop  lg  i7 1165g7 2.8ghz 16 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 17 wqxga 2560 x 1600 2 x thunderbolt 4 usbc 2 x usb 3.2 hợp kim nano carbon  magie,,,,,,,,,
26,220042001573,laptop,50990000, Laptop , acer ,i7,11800h,2.30 ghz,16 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card rời,rtx 3070 8gb,15.6,qhd 2560 x 1440,3 x usb 3.2,hdmi,vỏ kim loại,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,0.0," laptop  acer  i7 11800h 2.30 ghz 16 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card rời rtx 3070 8gb 15.6 qhd 2560 x 1440 3 x usb 3.2 hdmi vỏ kim loại",,,,,,,,,
27,220042001400,laptop,50890000, Laptop , lg ,i7,1165g7,2.8ghz,16 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,16,wqxga 2560 x 1600,2 x thunderbolt 4 usbc,2 x usb 3.2,hợp kim nano carbon  magie,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,0.0, laptop  lg  i7 1165g7 2.8ghz 16 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 16 wqxga 2560 x 1600 2 x thunderbolt 4 usbc 2 x usb 3.2 hợp kim nano carbon  magie,,,,,,,,,
28,220042001411,laptop,49990000, Laptop , lenovo ,i7,1185g7,3ghz,16 gb,1 tb ssd m.2 pcie,card tích hợp,intel iris xe,14,4kuhd 3840 x 2160,1 x usb 3.2,2 x thunderbolt 4 usbc,vỏ kim loại,Dài 319.4 mm - Rộng 216.4 mm - Dày 15.7 mm - Nặng 1.37 kg,Dài 319.4 mm - Rộng 216.4 mm - Dày 15.7 mm - Nặng 1.37 kg,2.0, laptop  lenovo  i7 1185g7 3ghz 16 gb 1 tb ssd m.2 pcie card tích hợp intel iris xe 14 4kuhd 3840 x 2160 1 x usb 3.2 2 x thunderbolt 4 usbc vỏ kim loại,,,,,,,,,
29,220042001441,laptop,49590000, Laptop , hp ,i7,1165g7,2.8ghz,16 gb,512 gb ssd nvme pcie,card tích hợp,intel iris xe,14,full hd 1920 x 1080,2 x thunderbolt 4 usbc,2 x usb 3.1,vỏ kim loại nguyên khối,Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,0.0, laptop  hp  i7 1165g7 2.8ghz 16 gb 512 gb ssd nvme pcie card tích hợp intel iris xe 14 full hd 1920 x 1080 2 x thunderbolt 4 usbc 2 x usb 3.1 vỏ kim loại nguyên khối,,,,,,,,,
30,220042001401,laptop,48890000, Laptop , lg ,i7,1165g7,2.8ghz,16 gb,256 gb ssd nvme pcie,card tích hợp,intel iris xe,16,wqxga 2560 x 1600,2 x thunderbolt 4 usbc,2 x usb 3.2,hợp kim nano carbon  magie,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,0.0, laptop  lg  i7 1165g7 2.8ghz 16 gb 256 gb ssd nvme pcie card tích hợp intel iris xe 16 wqxga 2560 x 1600 2 x thunderbolt 4 usbc 2 x usb 3.2 hợp kim nano carbon  magie,,,,,,,,,
31,220042001402,laptop,47890000, Laptop , lg ,i7,1165g7,2.8ghz,16 gb,hỗ trợ thêm 1 khe cắm ssd m.2 pcie mở rộng,card tích hợp,intel iris xe,14,wuxga 1920 x 1200,2 x thunderbolt 4 usbc,2 x usb 3.2,hợp kim nano carbon  magie,Dài 313.4 mm - Rộng 215.2 mm - Dày 16.8 mm - Nặng 0.999 kg,Dài 313.4 mm - Rộng 215.2 mm - Dày 16.8 mm - Nặng 0.999 kg,0.0, laptop  lg  i7 1165g7 2.8ghz 16 gb hỗ trợ thêm 1 khe cắm ssd m.2 pcie mở rộng card tích hợp intel iris xe 14 wuxga 1920 x 1200 2 x thunderbolt 4 usbc 2 x usb 3.2 hợp kim nano carbon  magie,,,,,,,,,
32,220042001670,laptop,41990000, Laptop , msi ,i7,11375h,3.3ghz,16 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card rời,rtx 3060 maxq 6gb,15.6,full hd 1920 x 1080,2 x usb 3.2,hdmi,vỏ kim loại,Dài 358.3 mm - Rộng 248 mm - Dày 16.15 mm - Nặng 1.7 kg,Dài 358.3 mm - Rộng 248 mm - Dày 16.15 mm - Nặng 1.7 kg,0.0," laptop  msi  i7 11375h 3.3ghz 16 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card rời rtx 3060 maxq 6gb 15.6 full hd 1920 x 1080 2 x usb 3.2 hdmi vỏ kim loại",,,,,,,,,
33,220042001719,laptop,41990000, Laptop , asus ,i7,1165g7,2.8ghz,16 gb,1 tb ssd m.2 pcie,card tích hợp,intel iris xe,13.3,"4kuhd 3840 x 2160, oled",1 x usb 3.2,2 x thunderbolt 4 usbc,vỏ kim loại nguyên khối,Dài 305 mm - Rộng 211 mm - Dày 13.9 mm - Nặng 1.2 kg,Dài 305 mm - Rộng 211 mm - Dày 13.9 mm - Nặng 1.2 kg,0.0," laptop  asus  i7 1165g7 2.8ghz 16 gb 1 tb ssd m.2 pcie card tích hợp intel iris xe 13.3 4kuhd 3840 x 2160, oled 1 x usb 3.2 2 x thunderbolt 4 usbc vỏ kim loại nguyên khối",,,,,,,,,
34,220042001691,laptop,41890000, Laptop , hp ,i7,1165g7,2.8ghz,16 gb,1 tb ssd m.2 pcie,card rời,"nvidia quadrot500, 4gb",14,full hd 1920 x 1080,2 x thunderbolt 4 usbc,2x superspeed usb a,vỏ kim loại,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,0.0," laptop  hp  i7 1165g7 2.8ghz 16 gb 1 tb ssd m.2 pcie card rời nvidia quadrot500, 4gb 14 full hd 1920 x 1080 2 x thunderbolt 4 usbc 2x superspeed usb a vỏ kim loại",,,,,,,,,
35,220042001764,laptop,39990000, Laptop , acer ,ryzen 7,5800h,3.2ghz,8 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb",card rời,rtx 3070 8gb,15.6,full hd 1920 x 1080,3 x usb 3.2,hdmi,vỏ nhựa,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,0.0," laptop  acer  ryzen 7 5800h 3.2ghz 8 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 2tb card rời rtx 3070 8gb 15.6 full hd 1920 x 1080 3 x usb 3.2 hdmi vỏ nhựa",,,,,,,,,
36,220042001743,laptop,39890000, Laptop , hp ,i5,1135g7,2.4ghz,16 gb,512 gb ssd nvme pcie,card rời,"nvidia quadrot500, 4gb",14,full hd 1920 x 1080,2 x thunderbolt 4 usbc,2x superspeed usb a,vỏ kim loại,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,0.0," laptop  hp  i5 1135g7 2.4ghz 16 gb 512 gb ssd nvme pcie card rời nvidia quadrot500, 4gb 14 full hd 1920 x 1080 2 x thunderbolt 4 usbc 2x superspeed usb a vỏ kim loại",,,,,,,,,
37,220042001757,laptop,37990000, Laptop , intel ,i7,1165g7,2.8ghz,16 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,15.6,full hd 1920 x 1080,2 x thunderbolt 4 usbc,2 x usb 3.2,vỏ kim loại,Dài 355 mm - Rộng 230 mm - Dày 14.9 mm - Nặng 1.65 kg,Dài 355 mm - Rộng 230 mm - Dày 14.9 mm - Nặng 1.65 kg,0.0," laptop  intel  i7 1165g7 2.8ghz 16 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x thunderbolt 4 usbc 2 x usb 3.2 vỏ kim loại",,,,,,,,,
38,220042001756,laptop,37990000, Laptop , intel ,i7,1165g7,2.8ghz,16 gb,"512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb",card tích hợp,intel iris xe,15.6,full hd 1920 x 1080,2 x thunderbolt 4 usbc,2 x usb 3.2,vỏ kim loại,Dài 355 mm - Rộng 230 mm - Dày 15 mm - Nặng 1.65 kg,Dài 355 mm - Rộng 230 mm - Dày 15 mm - Nặng 1.65 kg,0.0," laptop  intel  i7 1165g7 2.8ghz 16 gb 512 gb ssd nvme pcie có thể tháo ra, lắp thanh khác tối đa 1tb card tích hợp intel iris xe 15.6 full hd 1920 x 1080 2 x thunderbolt 4 usbc 2 x usb 3.2 vỏ kim loại",,,,,,,,,
